Executing action: monitor
Serial port COM5
Connecting.......
Detecting chip type... Unsupported detection protocol, switching and trying again...
Detecting chip type...ESP-ROM:esp32s2-rc4-20191025
Build:Oct 25 2019
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3ffe6108,len:0x1760
load:0x4004c000,len:0xabc
load:0x40050000,len:0x31b4
SHA-256 comparison failed:
Calculated: dd3fa7ca65307960a0c87e4cd128c64f10ed3872b52e2016a941d2e172cc4b49
Expected: ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
Attempting to boot anyway...
entry 0x4004c1c0
[0;32mI (40) boot: ESP-IDF v5.0.1 2nd stage bootloader[0m
[0;32mI (40) boot: compile time 01:23:40[0m
[0;32mI (40) boot: chip revision: v0.0[0m
[0;32mI (42) boot.esp32s2: SPI Speed      : 80MHz[0m
[0;32mI (47) boot.esp32s2: SPI Mode       : DIO[0m
[0;32mI (52) boot.esp32s2: SPI Flash Size : 4MB[0m
[0;32mI (57) boot: Enabling RNG early entropy source...[0m
[0;32mI (62) boot: Partition Table:[0m
[0;32mI (66) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (73) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (80) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (88) boot:  2 factory          factory app      00 00 00010000 00100000[0m
[0;32mI (95) boot: End of partition table[0m
[0;32mI (99) esp_image: segment 0: paddr=00010020 vaddr=3f000020 size=08a10h ( 35344) map[0m
[0;32mI (112) esp_image: segment 1: paddr=00018a38 vaddr=3ffbd120 size=015d4h (  5588) load[0m
[0;32mI (117) esp_image: segment 2: paddr=0001a014 vaddr=40022000 size=06004h ( 24580) load[0m
[0;32mI (129) esp_image: segment 3: paddr=00020020 vaddr=40080020 size=14ff8h ( 86008) map[0m
[0;32mI (144) esp_image: segment 4: paddr=00035020 vaddr=40028004 size=05110h ( 20752) load[0m
[0;32mI (153) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (153) boot: Disabling RNG early entropy source...[0m
[0;32mI (167) cache: Instruction cache 	: size 8KB, 4Ways, cache line size 32Byte[0m
101.699020,3549,1083
101.799019,3553,1084
101.899017,3553,1084
101.999016,3555,1085
102.099014,3559,1086
102.199013,3557,1085
102.299011,3558,1085
102.399010,3563,1087
102.499008,3557,1085
102.599007,3562,1087
102.699005,3563,1087
102.799004,3565,1088
102.899002,3570,1089
102.999001,3568,1089
103.098999,3566,1088
103.198997,3565,1088
103.298996,3565,1088
103.398994,3569,1089
103.498993,3570,1089
103.598991,3570,1089
103.698990,3575,1091
103.798988,3573,1090
103.898987,3569,1089
103.998985,3573,1090
104.098984,3569,1089
104.198982,3570,1089
104.298981,3570,1089
104.398979,3567,1088
104.498978,3565,1088
104.598976,3563,1087
104.698975,3564,1087
104.798973,3564,1087
104.898972,3560,1086
104.998970,3554,1084
105.098969,3552,1084
105.198967,3549,1083
105.298965,3554,1084
105.398964,3555,1085
105.498962,3553,1084
105.598961,3546,1082
105.698959,3547,1082
105.798958,3547,1082
105.898956,3549,1083
105.998955,3555,1085
106.098953,3557,1085
106.198952,3561,1086
106.298950,3562,1087
106.398949,3569,1089
106.498947,3568,1089
106.598946,3568,1089
106.698944,3570,1089
106.798943,3570,1089
106.898941,3575,1091
106.998940,3571,1089
107.098938,3567,1088
107.198936,3570,1089
107.298935,3568,1089
107.398933,3567,1088
107.498932,3567,1088
107.598930,3563,1087
107.698929,3560,1086
107.798927,3562,1087
107.898926,3564,1087
107.998924,3564,1087
108.098923,3564,1087
108.198921,3560,1086
108.298920,3561,1086
108.398918,3557,1085
108.498917,3559,1086
108.598915,3555,1085
108.698914,3556,1085
108.798912,3560,1086
108.898911,3558,1085
108.998909,3558,1085
109.098907,3555,1085
109.198906,3551,1083
109.298904,3555,1085
109.398903,3556,1085
109.498901,3553,1084
109.598900,3553,1084
109.698898,3562,1087
109.798897,3561,1086
109.898895,3560,1086
109.998894,3568,1089
110.098892,3562,1087
110.198891,3560,1086
110.298889,3556,1085
110.398888,3561,1086
110.498886,3555,1085
110.598885,3557,1085
110.698883,3561,1086
110.798882,3560,1086
110.898880,3558,1085
110.998878,3563,1087
111.098877,3555,1085
111.198875,3551,1083
111.298874,3548,1082
111.398872,3556,1085
111.498871,3567,1088
111.598869,3565,1088
111.698868,3566,1088
111.798866,3572,1090
111.898865,3569,1089
111.998863,3568,1089
112.098862,3566,1088
112.198860,3562,1087
112.298859,3565,1088
112.398857,3562,1087
112.498856,3557,1085
112.598854,3557,1085
112.698853,3562,1087
112.798851,3560,1086
112.898849,3557,1085
112.998848,3560,1086
113.098846,3563,1087
113.198845,3561,1086
113.298843,3568,1089
113.398842,3563,1087
113.498840,3565,1088
113.598839,3567,1088
113.698837,3566,1088
113.798836,3565,1088
113.898834,3568,1089
113.998833,3568,1089
114.098831,3572,1090
114.198830,3572,1090
114.298828,3572,1090
114.398827,3566,1088
114.498825,3567,1088
114.598824,3566,1088
114.698822,3566,1088
114.798820,3565,1088
114.898819,3562,1087
114.998817,3559,1086
115.098816,3555,1085
115.198814,3555,1085
115.298813,3556,1085
115.398811,3557,1085
115.498810,3553,1084
115.598808,3556,1085
115.698807,3556,1085
115.798805,3557,1085
115.898804,3551,1083
115.998802,3548,1082
116.098801,3542,1081
116.198799,3539,1080
116.298798,3540,1080
116.398796,3533,1078
116.498795,3533,1078
116.598793,3539,1080
116.698792,3541,1080
116.798790,3541,1080
116.898788,3532,1078
116.998787,3531,1077
117.098785,3538,1079
117.198784,3534,1078
117.298782,3543,1081
117.398781,3540,1080
117.498779,3538,1079
117.598778,3536,1079
117.698776,3533,1078
117.798775,3537,1079
117.898773,3543,1081
117.998772,3540,1080
118.098770,3540,1080
118.198769,3537,1079
118.298767,3535,1078
118.398766,3542,1081
118.498764,3543,1081
118.598763,3545,1081
118.698761,3548,1082
118.798759,3543,1081
118.898758,3547,1082
118.998756,3545,1081
119.098755,3539,1080
119.198753,3536,1079
119.298752,3532,1078
119.398750,3532,1078
119.498749,3532,1078
119.598747,3530,1077
119.698746,3531,1077
119.798744,3534,1078
119.898743,3537,1079
119.998741,3539,1080
120.098740,3543,1081
120.198738,3538,1079
120.298737,3539,1080
120.398735,3538,1079
120.498734,3530,1077
120.598732,3540,1080
120.698730,3537,1079
120.798729,3536,1079
120.898727,3544,1081
120.998726,3539,1080
121.098724,3545,1081
121.198723,3540,1080
121.298721,3543,1081
121.398720,3541,1080
121.498718,3544,1081
121.598717,3544,1081
121.698715,3541,1080
121.798714,3542,1081
121.898712,3541,1080
121.998711,3543,1081
